Outlet,Brand,Products Name,Volume/Weight,Satchet/Units,Price in RM
LOTUS,F&N,FN FRUITADE 1.5L,1.5,1,3.45
LOTUS,F&N,FN ZAPPEL 1.5L,1.5,1,3.45
LOTUS,F&N,FN ICE CREAM SODA 1.5L,1.5,1,3.45
LOTUS,F&N,FN STRAWBERRY 1.5L,1.5,1,3.45
LOTUS,F&N,F&N SEASONS SOYA BEAN 1L,1,1,2.5
LOTUS,F&N,F&N SEASONS CHRYSTHEMUM DRINK 1L,1,1,2.5
LOTUS,F&N,F&N SEASONS SOYA BEAN 250MLX6,0.25,6,6.2
LOTUS,F&N,FN SEASONS ICE LEMON TEA 250MLX6,0.25,6,6.2
LOTUS,F&N,FN SEASONS CHRYSTHEMUM 250MLX6,0.25,6,6.2
LOTUS,F&N,FN TEH TARIK L/SWEET PET 270M,0.27,1,12.59
LOTUS,F&N,FN TEH TARIK PET 270MLX4,0.27,4,12.59
LOTUS,F&N,F&N ROSE CORDIAL SYRUP 2L,2,1,12.45
LOTUS,F&N,F&N GRAPE CORDIAL 2L,2,1,12.45
LOTUS,F&N,F&N CORDIAL RUT B 2L,2,1,12.45
LOTUS,F&N,F&N SARSAPARILLA CORDIAL 2L,2,1,12.45
LOTUS,F&N,F&N ROSE CORDIAL SYRUP 2L,2,1,12.45
LOTUS,F&N,F&N SEASONS GRASS JELLY (CINCAU) 300ML,0.3,1,1.5
LOTUS,F&N,F&N CLUB SODA WATER 325ML,0.325,1,1.75
LOTUS,F&N,F&N ED TONIC CAN 325ML,0.325,1,1.9
LOTUS,F&N,FN GRAPE CAN 325ML,0.325,1,1.75
LOTUS,F&N,FN ICE CRM SODA 325ML,0.325,1,1.75
LOTUS,F&N,FN STRAWBERRY CAN 325ML,0.325,1,1.75
LOTUS,F&N,FN SARSI CAN 325ML,0.325,1,1.75
LOTUS,F&N,F&N EVAPORATED CREAMER 390G,0.39,1,3.69
LOTUS,F&N,F&N CONDENSED FULL CREAM MILK 392G,0.392,1,6.1
LOTUS,F&N,F&N SWEETENED CREAMER TEH TARIK 500G,0.5,1,3.79
LOTUS,F&N,F&N SWEETENED CONDENSED FILLED MILK 500G,0.5,1,5.25
LOTUS,F&N,FN SWEETENED CREAMER HICAL 500G,0.5,1,3.9
LOTUS,F&N,FN VITAMINISED SWEETENED CREAMER 500G,0.5,1,3.99
